,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,40.0,2023.0,2541.2631
1,2,Dealers sales channel - leads,Dealers sales channel - leads,40.0,2023.0,3169.0089
2,3,Direct sales and big merchants,Direct sales and big merchants,40.0,2023.0,3658.8991
3,4,Direct Sales - Key clients,Direct Sales - Key clients,40.0,2023.0,12575.6901
4,5,MILLENNIUM,MILLENNIUM,40.0,2023.0,2023.8278
5,6,Cooperative Banks,Cooperative Banks,40.0,2023.0,3533.6226
6,7,Sales representatives,Sales representatives,40.0,2023.0,4999.7811
7,8,Regional Sales Managers,Regional Sales Managers,40.0,2023.0,14142.9024
8,9,DSA,,,,
9,10,Corporate Partners,Corporate Partners,40.0,2023.0,20.4275
10,11,GL migration,GL migration,40.0,2023.0,3257.7804
11,12,Remote sales Millennium,Remote sales Millennium,40.0,2023.0,466.6542
12,13,Remote sales NestBank,Remote sales NestBank,40.0,2023.0,279.6468
13,14,Remote sales other,Remote sales other,40.0,2023.0,2482.1586
14,15,ICP,ICP,40.0,2023.0,5009.8731
15,16,Multipay,Multipay,40.0,2023.0,12327.1929
16,17,Operations,Operations,40.0,2023.0,3667.3426
17,18,No channel info,No channel info,40.0,2023.0,121.4434
