,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,38.0,2023.0,202.6573
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,38.0,2023.0,76.2794
3,4,Direct Sales - Key clients,Direct Sales - Key clients,38.0,2023.0,4276.8421
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,38.0,2023.0,1567.5000
7,8,Regional Sales Managers,Regional Sales Managers,38.0,2023.0,245.6817
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,38.0,2023.0,13.9068
10,11,GL migration,GL migration,38.0,2023.0,134.8600
11,12,Remote sales Millennium,Remote sales Millennium,38.0,2023.0,517.1082
12,13,Remote sales NestBank,Remote sales NestBank,38.0,2023.0,604.2883
13,14,Remote sales other,Remote sales other,38.0,2023.0,169.5310
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,38.0,2023.0,196.6986
17,18,No channel info,No channel info,38.0,2023.0,7.1428
