,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,1163817.1100
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,386353.7700
3,4,Direct Sales - Key clients,Direct Sales - Key clients,220.0000
4,5,MILLENNIUM,MILLENNIUM,82517.7700
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,,0.0000
7,8,Regional Sales Managers,Regional Sales Managers,17423.8000
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,10465.9000
12,13,Remote sales NestBank,Remote sales NestBank,1171.2000
13,14,Remote sales other,Remote sales other,55712.4000
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,144712.2500
17,18,No channel info,,0.0000
