,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,5.0,2024.0,199.9176
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,5.0,2024.0,13.7980
3,4,Direct Sales - Key clients,Direct Sales - Key clients,5.0,2024.0,164.7021
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,5.0,2024.0,681.0000
7,8,Regional Sales Managers,Regional Sales Managers,5.0,2024.0,131.8514
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,5.0,2024.0,16.7762
10,11,GL migration,GL migration,5.0,2024.0,142.1000
11,12,Remote sales Millennium,Remote sales Millennium,5.0,2024.0,360.6393
12,13,Remote sales NestBank,Remote sales NestBank,5.0,2024.0,190.2259
13,14,Remote sales other,Remote sales other,5.0,2024.0,166.3675
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,5.0,2024.0,257.1032
17,18,No channel info,No channel info,5.0,2024.0,0.0000
