,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,8725746.3200
1,2,Dealers sales channel - leads,Dealers sales channel - leads,10981.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,3013318.9300
3,4,Direct Sales - Key clients,Direct Sales - Key clients,678290.6800
4,5,MILLENNIUM,MILLENNIUM,1377535.8900
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,4699.0000
7,8,Regional Sales Managers,Regional Sales Managers,1321067.8800
8,9,DSA,,0.0000
9,10,Corporate Partners,Corporate Partners,0.0000
10,11,GL migration,GL migration,7503.7300
11,12,Remote sales Millennium,Remote sales Millennium,131296.9900
12,13,Remote sales NestBank,Remote sales NestBank,34439.4500
13,14,Remote sales other,Remote sales other,607350.2900
14,15,ICP,ICP,48428.1200
15,16,Multipay,,0.0000
16,17,Operations,Operations,814946.4800
17,18,No channel info,,0.0000
