,sort,sc,sales_channel2,rok,week_number,qty
0,1,Dealers sales channel,Dealers sales channel,2024.0,2.0,1442
1,2,Dealers sales channel - leads,,,,0
2,3,Direct sales and big merchants,Direct sales and big merchants,2024.0,2.0,396
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2024.0,2.0,703
4,5,MILLENNIUM,,,,0
5,6,Cooperative Banks,,,,0
6,7,Sales representatives,Sales representatives,2024.0,2.0,3
7,8,Regional Sales Managers,Regional Sales Managers,2024.0,2.0,182
8,9,DSA,,,,0
9,10,Corporate Partners,Corporate Partners,2024.0,2.0,65
10,11,GL migration,GL migration,2024.0,2.0,8
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,2.0,2790
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,2.0,204
13,14,Remote sales other,Remote sales other,2024.0,2.0,298
14,15,ICP,,,,0
15,16,Multipay,,,,0
16,17,Operations,Operations,2024.0,2.0,231
17,18,No channel info,No channel info,2024.0,2.0,0
