,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2023.0,39.0,134848083.2900
1,2,Dealers sales channel - leads,DL-LEAD,2023.0,39.0,420116.4800
2,3,Direct sales and big merchants,Direct sales,2023.0,39.0,13482025.1100
3,4,Direct Sales - Key clients,DSK,2023.0,39.0,1511858.1800
4,5,MILLENNIUM,MM,2023.0,39.0,5862900.4700
5,6,Cooperative Banks,BANKI,2023.0,39.0,245847.6100
6,7,Sales representatives,SR,2023.0,39.0,3366025.2500
7,8,Regional Sales Managers,RMS,2023.0,39.0,19918614.3000
8,9,DSA,,,,
9,10,Corporate Partners,CP,2023.0,39.0,37848.3400
10,11,GL migration,GL,2023.0,39.0,3693902.8700
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,39.0,152880.1700
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,39.0,35188.0800
13,14,Remote sales other,Remote sales other,2023.0,39.0,1710349.6200
14,15,ICP,ICP,2023.0,39.0,729070.1000
15,16,Multipay,Multipay,2023.0,39.0,893869.9600
16,17,Operations,OP,2023.0,39.0,3750737.7200
17,18,No channel info,No channel info,2023.0,39.0,328626.2500
