,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,39.0,2023.0,2480.4665
1,2,Dealers sales channel - leads,Dealers sales channel - leads,39.0,2023.0,2819.5736
2,3,Direct sales and big merchants,Direct sales and big merchants,39.0,2023.0,3585.6449
3,4,Direct Sales - Key clients,Direct Sales - Key clients,39.0,2023.0,11811.3920
4,5,MILLENNIUM,MILLENNIUM,39.0,2023.0,2290.1954
5,6,Cooperative Banks,Cooperative Banks,39.0,2023.0,3234.8369
6,7,Sales representatives,Sales representatives,39.0,2023.0,4836.2431
7,8,Regional Sales Managers,Regional Sales Managers,39.0,2023.0,13270.2293
8,9,DSA,,,,
9,10,Corporate Partners,Corporate Partners,39.0,2023.0,31.7253
10,11,GL migration,GL migration,39.0,2023.0,3228.9360
11,12,Remote sales Millennium,Remote sales Millennium,39.0,2023.0,409.8664
12,13,Remote sales NestBank,Remote sales NestBank,39.0,2023.0,274.9068
13,14,Remote sales other,Remote sales other,39.0,2023.0,2378.7894
14,15,ICP,ICP,39.0,2023.0,5062.9868
15,16,Multipay,Multipay,39.0,2023.0,12589.7177
16,17,Operations,Operations,39.0,2023.0,3596.1051
17,18,No channel info,No channel info,39.0,2023.0,104.6913
