,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,40.0,2023.0,199.8384
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,40.0,2023.0,115.2132
3,4,Direct Sales - Key clients,Direct Sales - Key clients,40.0,2023.0,5718.0000
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,40.0,2023.0,1182.5000
7,8,Regional Sales Managers,Regional Sales Managers,40.0,2023.0,191.3437
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,40.0,2023.0,29.4938
10,11,GL migration,GL migration,40.0,2023.0,251.4000
11,12,Remote sales Millennium,Remote sales Millennium,40.0,2023.0,466.6542
12,13,Remote sales NestBank,Remote sales NestBank,40.0,2023.0,281.8316
13,14,Remote sales other,Remote sales other,40.0,2023.0,162.8423
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,40.0,2023.0,184.9832
17,18,No channel info,No channel info,40.0,2023.0,0.0000
