,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,8410072.7200
1,2,Dealers sales channel - leads,Dealers sales channel - leads,7176.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,4551347.8600
3,4,Direct Sales - Key clients,Direct Sales - Key clients,582000.7800
4,5,MILLENNIUM,MILLENNIUM,1213504.4200
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,6403.0000
7,8,Regional Sales Managers,Regional Sales Managers,1271245.1600
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,7174.5400
11,12,Remote sales Millennium,Remote sales Millennium,119439.9900
12,13,Remote sales NestBank,Remote sales NestBank,42882.1300
13,14,Remote sales other,Remote sales other,757176.2100
14,15,ICP,ICP,54241.6500
15,16,Multipay,,0.0000
16,17,Operations,Operations,1361703.6900
17,18,No channel info,,0.0000
