,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2024.0,1.0,85657300.9600
1,2,Dealers sales channel - leads,DL-LEAD,2024.0,1.0,289280.4000
2,3,Direct sales and big merchants,Direct sales,2024.0,1.0,9813987.4100
3,4,Direct Sales - Key clients,DSK,2024.0,1.0,996780.2400
4,5,MILLENNIUM,MM,2024.0,1.0,3361086.8300
5,6,Cooperative Banks,BANKI,2024.0,1.0,144333.0100
6,7,Sales representatives,SR,2024.0,1.0,2099519.1100
7,8,Regional Sales Managers,RMS,2024.0,1.0,15321788.1200
8,9,DSA,,,,
9,10,Corporate Partners,CP,2024.0,1.0,11082.8500
10,11,GL migration,GL,2024.0,1.0,2645413.8200
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,1.0,108237.5300
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,1.0,27857.9900
13,14,Remote sales other,Remote sales other,2024.0,1.0,1256022.1700
14,15,ICP,ICP,2024.0,1.0,517700.4500
15,16,Multipay,Multipay,2024.0,1.0,613477.2400
16,17,Operations,OP,2024.0,1.0,2564234.0500
17,18,No channel info,No channel info,2024.0,1.0,211388.8200
