,sort,sc,sales_channel2,rok,week_number,qty
0,1,Dealers sales channel,Dealers sales channel,2024.0,1.0,948
1,2,Dealers sales channel - leads,,,,0
2,3,Direct sales and big merchants,Direct sales and big merchants,2024.0,1.0,453
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2024.0,1.0,1482
4,5,MILLENNIUM,,,,0
5,6,Cooperative Banks,,,,0
6,7,Sales representatives,Sales representatives,2024.0,1.0,2
7,8,Regional Sales Managers,Regional Sales Managers,2024.0,1.0,274
8,9,DSA,,,,0
9,10,Corporate Partners,Corporate Partners,2024.0,1.0,37
10,11,GL migration,GL migration,2024.0,1.0,11
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,1.0,1984
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,1.0,140
13,14,Remote sales other,Remote sales other,2024.0,1.0,195
14,15,ICP,,,,0
15,16,Multipay,,,,0
16,17,Operations,Operations,2024.0,1.0,150
17,18,No channel info,No channel info,2024.0,1.0,1
