,sort,sc,sales_channel2,rok,week_number,value
0,1,Dealers sales channel,Dealers sales channel,2024.0,5.0,132545.3900
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,2024.0,5.0,18986.0600
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2024.0,5.0,52540.0000
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,2024.0,5.0,1362.0000
7,8,Regional Sales Managers,Regional Sales Managers,2024.0,5.0,9229.6000
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,2024.0,5.0,18604.8600
10,11,GL migration,GL migration,2024.0,5.0,142.1000
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,5.0,172024.9800
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,5.0,29294.7900
13,14,Remote sales other,Remote sales other,2024.0,5.0,26785.1800
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,2024.0,5.0,39336.8000
17,18,No channel info,No channel info,2024.0,5.0,0.0000
