,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,32,2023,2653.8458
1,2,Dealers sales channel - leads,Dealers sales channel - leads,32,2023,2847.0388
2,3,Direct sales and big merchants,Direct sales and big merchants,32,2023,4218.7016
3,4,Direct Sales - Key clients,Direct Sales - Key clients,32,2023,14475.8261
4,5,MILLENNIUM,MILLENNIUM,32,2023,2201.7222
5,6,Cooperative Banks,Cooperative Banks,32,2023,3486.7033
6,7,Sales representatives,Sales representatives,32,2023,4467.3263
7,8,Regional Sales Managers,Regional Sales Managers,32,2023,14477.9437
8,9,DSA,DSA,32,2023,4737.1770
9,10,Corporate Partners,Corporate Partners,32,2023,55.3130
10,11,GL migration,GL migration,32,2023,3449.1375
11,12,Remote sales Millennium,Remote sales Millennium,32,2023,484.5629
12,13,Remote sales NestBank,Remote sales NestBank,32,2023,374.1924
13,14,Remote sales other,Remote sales other,32,2023,2843.2537
14,15,ICP,ICP,32,2023,5477.5281
15,16,Multipay,Multipay,32,2023,19660.8836
16,17,Operations,Operations,32,2023,4635.4020
17,18,No channel info,No channel info,32,2023,113.1540
