,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,2.0,2024.0,171.4436
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,2.0,2024.0,14.5664
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2.0,2024.0,2177.0000
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,2.0,2024.0,359.5000
7,8,Regional Sales Managers,Regional Sales Managers,2.0,2024.0,166.3057
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,2.0,2024.0,29.2993
10,11,GL migration,GL migration,2.0,2024.0,190.2000
11,12,Remote sales Millennium,Remote sales Millennium,2.0,2024.0,319.8108
12,13,Remote sales NestBank,Remote sales NestBank,2.0,2024.0,252.9572
13,14,Remote sales other,Remote sales other,2.0,2024.0,140.2468
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,2.0,2024.0,153.7176
17,18,No channel info,No channel info,2.0,2024.0,0.0000
