,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,853387.3800
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,236851.6400
3,4,Direct Sales - Key clients,,0.0000
4,5,MILLENNIUM,MILLENNIUM,74838.5200
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,,0.0000
7,8,Regional Sales Managers,Regional Sales Managers,831162.6700
8,9,DSA,,0.0000
9,10,Corporate Partners,Corporate Partners,2.1000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,4988.8700
12,13,Remote sales NestBank,Remote sales NestBank,0.0000
13,14,Remote sales other,Remote sales other,29103.7500
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,47019.5200
17,18,No channel info,,0.0000
