,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,1739353.7400
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,273637.4900
3,4,Direct Sales - Key clients,Direct Sales - Key clients,924795.5500
4,5,MILLENNIUM,,0.0000
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,19445.9000
7,8,Regional Sales Managers,Regional Sales Managers,56891.2400
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,2665715.9200
12,13,Remote sales NestBank,Remote sales NestBank,1031510.8200
13,14,Remote sales other,Remote sales other,174600.2500
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,78818.9700
17,18,No channel info,,0.0000
