,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2023,33,161230642.0000
1,2,Dealers sales channel - leads,DL-LEAD,2023,33,516813.3600
2,3,Direct sales and big merchants,Direct sales,2023,33,17130828.4200
3,4,Direct Sales - Key clients,DSK,2023,33,1957769.2100
4,5,MILLENNIUM,MM,2023,33,6084285.4200
5,6,Cooperative Banks,BANKI,2023,33,283115.5000
6,7,Sales representatives,SR,2023,33,3622258.9700
7,8,Regional Sales Managers,RMS,2023,33,20485352.8200
8,9,DSA,DSA,2023,33,680277.8800
9,10,Corporate Partners,CP,2023,33,34087.9800
10,11,GL migration,GL,2023,33,4284485.2000
11,12,Remote sales Millennium,Remote sales Millennium,2023,33,184866.5200
12,13,Remote sales NestBank,Remote sales NestBank,2023,33,65942.6000
13,14,Remote sales other,Remote sales other,2023,33,2185657.8300
14,15,ICP,ICP,2023,33,837483.6100
15,16,Multipay,Multipay,2023,33,1350478.9400
16,17,Operations,OP,2023,33,5450382.3700
17,18,No channel info,No channel info,2023,33,386153.6300
