,sort,sc,sc_symbol2,rok,week_number,qty
0,1,Dealers sales channel,DL,2023.0,36.0,2526545.0
1,2,Dealers sales channel - leads,DL-LEAD,2023.0,36.0,4922.0
2,3,Direct sales and big merchants,Direct sales,2023.0,36.0,266181.0
3,4,Direct Sales - Key clients,DSK,2023.0,36.0,21104.0
4,5,MILLENNIUM,MM,2023.0,36.0,76807.0
5,6,Cooperative Banks,BANKI,2023.0,36.0,4446.0
6,7,Sales representatives,SR,2023.0,36.0,64089.0
7,8,Regional Sales Managers,RMS,2023.0,36.0,181713.0
8,9,DSA,,,,
9,10,Corporate Partners,CP,2023.0,36.0,37.0
10,11,GL migration,GL,2023.0,36.0,75069.0
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,36.0,2508.0
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,36.0,427.0
13,14,Remote sales other,Remote sales other,2023.0,36.0,33309.0
14,15,ICP,ICP,2023.0,36.0,17551.0
15,16,Multipay,Multipay,2023.0,36.0,4794.0
16,17,Operations,OP,2023.0,36.0,73362.0
17,18,No channel info,No channel info,2023.0,36.0,4189.0
