,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,8143994.7100
1,2,Dealers sales channel - leads,Dealers sales channel - leads,7967.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,2999000.2700
3,4,Direct Sales - Key clients,Direct Sales - Key clients,621407.0300
4,5,MILLENNIUM,MILLENNIUM,2143567.1000
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,4842.0000
7,8,Regional Sales Managers,Regional Sales Managers,1185318.4900
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,6830.3300
11,12,Remote sales Millennium,Remote sales Millennium,106402.8200
12,13,Remote sales NestBank,Remote sales NestBank,35188.0800
13,14,Remote sales other,Remote sales other,578149.3300
14,15,ICP,ICP,55723.8200
15,16,Multipay,,0.0000
16,17,Operations,Operations,818302.8400
17,18,No channel info,,0.0000
