,sort,sc,sc_symbol2,rok,week_number,qty
0,1,Dealers sales channel,DL,2024.0,1.0,1488668.0
1,2,Dealers sales channel - leads,DL-LEAD,2024.0,1.0,2130.0
2,3,Direct sales and big merchants,Direct sales,2024.0,1.0,161853.0
3,4,Direct Sales - Key clients,DSK,2024.0,1.0,10106.0
4,5,MILLENNIUM,MM,2024.0,1.0,53247.0
5,6,Cooperative Banks,BANKI,2024.0,1.0,2545.0
6,7,Sales representatives,SR,2024.0,1.0,41018.0
7,8,Regional Sales Managers,RMS,2024.0,1.0,139073.0
8,9,DSA,,,,
9,10,Corporate Partners,CP,2024.0,1.0,42.0
10,11,GL migration,GL,2024.0,1.0,47716.0
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,1.0,1984.0
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,1.0,140.0
13,14,Remote sales other,Remote sales other,2024.0,1.0,21329.0
14,15,ICP,ICP,2024.0,1.0,12225.0
15,16,Multipay,Multipay,2024.0,1.0,2881.0
16,17,Operations,OP,2024.0,1.0,40378.0
17,18,No channel info,No channel info,2024.0,1.0,2886.0
