,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,8394325.0400
1,2,Dealers sales channel - leads,Dealers sales channel - leads,7971.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,3037745.0900
3,4,Direct Sales - Key clients,Direct Sales - Key clients,625480.1500
4,5,MILLENNIUM,MILLENNIUM,1634354.8100
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,6169.0000
7,8,Regional Sales Managers,Regional Sales Managers,1193520.4100
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,6933.7200
11,12,Remote sales Millennium,Remote sales Millennium,112899.2900
12,13,Remote sales NestBank,Remote sales NestBank,50681.7200
13,14,Remote sales other,Remote sales other,608684.1900
14,15,ICP,ICP,46691.4900
15,16,Multipay,,0.0000
16,17,Operations,Operations,1013345.3700
17,18,No channel info,,0.0000
