,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,1.0,2024.0,1623.7119
1,2,Dealers sales channel - leads,Dealers sales channel - leads,1.0,2024.0,2051.6340
2,3,Direct sales and big merchants,Direct sales and big merchants,1.0,2024.0,1919.4186
3,4,Direct Sales - Key clients,Direct Sales - Key clients,1.0,2024.0,7910.9542
4,5,MILLENNIUM,MILLENNIUM,1.0,2024.0,1247.6194
5,6,Cooperative Banks,Cooperative Banks,1.0,2024.0,2004.6251
6,7,Sales representatives,Sales representatives,1.0,2024.0,3190.7585
7,8,Regional Sales Managers,Regional Sales Managers,1.0,2024.0,9218.8857
8,9,DSA,,,,
9,10,Corporate Partners,Corporate Partners,1.0,2024.0,6.9572
10,11,GL migration,GL migration,1.0,2024.0,2389.7143
11,12,Remote sales Millennium,Remote sales Millennium,1.0,2024.0,237.3630
12,13,Remote sales NestBank,Remote sales NestBank,1.0,2024.0,185.7199
13,14,Remote sales other,Remote sales other,1.0,2024.0,1548.7326
14,15,ICP,ICP,1.0,2024.0,3671.6343
15,16,Multipay,Multipay,1.0,2024.0,8520.5172
16,17,Operations,Operations,1.0,2024.0,2521.3707
17,18,No channel info,No channel info,1.0,2024.0,66.9587
