,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,8961719.5900
1,2,Dealers sales channel - leads,Dealers sales channel - leads,12463.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,3156013.7700
3,4,Direct Sales - Key clients,Direct Sales - Key clients,803779.0600
4,5,MILLENNIUM,MILLENNIUM,1723746.7200
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,6172.0000
7,8,Regional Sales Managers,Regional Sales Managers,1155898.1300
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,6606.9400
11,12,Remote sales Millennium,Remote sales Millennium,137739.5700
12,13,Remote sales NestBank,Remote sales NestBank,73379.7500
13,14,Remote sales other,Remote sales other,631992.0500
14,15,ICP,ICP,56080.7800
15,16,Multipay,,0.0000
16,17,Operations,Operations,1010771.3800
17,18,No channel info,,0.0000
