,sort,sc,sales_channel2,value
0,1,Dealers sales channel,,0.0000
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,3.0000
3,4,Direct Sales - Key clients,,0.0000
4,5,MILLENNIUM,,0.0000
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,,0.0000
7,8,Regional Sales Managers,,0.0000
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,419.7000
12,13,Remote sales NestBank,,0.0000
13,14,Remote sales other,Remote sales other,259.5000
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,2.0000
17,18,No channel info,,0.0000
