,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,1396521.4500
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,224480.8600
3,4,Direct Sales - Key clients,Direct Sales - Key clients,670691.0000
4,5,MILLENNIUM,,0.0000
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,15858.9000
7,8,Regional Sales Managers,Regional Sales Managers,43698.8800
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,2050697.6900
12,13,Remote sales NestBank,Remote sales NestBank,782948.4700
13,14,Remote sales other,Remote sales other,126782.4100
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,53642.1900
17,18,No channel info,,0.0000
