,sort,sc,sales_channel2,rok,week_number,value
0,1,Dealers sales channel,Dealers sales channel,2024.0,1.0,74952.1800
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,2024.0,1.0,25842.4000
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2024.0,1.0,96535.0000
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,2024.0,1.0,340.0000
7,8,Regional Sales Managers,Regional Sales Managers,2024.0,1.0,6003.7000
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,2024.0,1.0,10322.8500
10,11,GL migration,GL migration,2024.0,1.0,365.8000
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,1.0,108237.5300
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,1.0,27857.9900
13,14,Remote sales other,Remote sales other,2024.0,1.0,15493.4500
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,2024.0,1.0,15393.9900
17,18,No channel info,No channel info,2024.0,1.0,150.0000
