,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,116775001.1100
1,2,Dealers sales channel - leads,Dealers sales channel - leads,103134.6200
2,3,Direct sales and big merchants,Direct sales and big merchants,56818312.1200
3,4,Direct Sales - Key clients,Direct Sales - Key clients,7710491.4500
4,5,MILLENNIUM,MILLENNIUM,16876716.4300
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,88533.1200
7,8,Regional Sales Managers,Regional Sales Managers,16398980.5400
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,37057.4300
11,12,Remote sales Millennium,Remote sales Millennium,1912645.7700
12,13,Remote sales NestBank,Remote sales NestBank,722418.0700
13,14,Remote sales other,Remote sales other,10300082.0900
14,15,ICP,ICP,1443408.0600
15,16,Multipay,,0.0000
16,17,Operations,Operations,17373162.8200
17,18,No channel info,,0.0000
