,sort,sc,sc_symbol2,rok,week_number,POS
0,1,Dealers sales channel,DL,2023.0,40.0,106
1,2,Dealers sales channel - leads,,,,0
2,3,Direct sales and big merchants,Direct sales,2023.0,40.0,13
3,4,Direct Sales - Key clients,,,,0
4,5,MILLENNIUM,MM,2023.0,40.0,18
5,6,Cooperative Banks,,,,0
6,7,Sales representatives,,,,0
7,8,Regional Sales Managers,RMS,2023.0,40.0,15
8,9,DSA,,,,0
9,10,Corporate Partners,CP,2023.0,40.0,210
10,11,GL migration,,,,0
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,40.0,5
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,40.0,2
13,14,Remote sales other,Remote sales other,2023.0,40.0,8
14,15,ICP,,,,0
15,16,Multipay,,,,0
16,17,Operations,OP,2023.0,40.0,2
17,18,No channel info,,,,0
