,sort,sc,sc_symbol2,rok,week_number,qty
0,1,Dealers sales channel,DL,2023,33,2904608
1,2,Dealers sales channel - leads,DL-LEAD,2023,33,4552
2,3,Direct sales and big merchants,Direct sales,2023,33,332263
3,4,Direct Sales - Key clients,DSK,2023,33,26106
4,5,MILLENNIUM,MM,2023,33,89120
5,6,Cooperative Banks,BANKI,2023,33,4546
6,7,Sales representatives,SR,2023,33,70942
7,8,Regional Sales Managers,RMS,2023,33,194165
8,9,DSA,DSA,2023,33,16726
9,10,Corporate Partners,CP,2023,33,56
10,11,GL migration,GL,2023,33,86147
11,12,Remote sales Millennium,Remote sales Millennium,2023,33,3254
12,13,Remote sales NestBank,Remote sales NestBank,2023,33,599
13,14,Remote sales other,Remote sales other,2023,33,42419
14,15,ICP,ICP,2023,33,20101
15,16,Multipay,Multipay,2023,33,5736
16,17,Operations,OP,2023,33,100704
17,18,No channel info,No channel info,2023,33,6060
