,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2024.0,5.0,117731304.5600
1,2,Dealers sales channel - leads,DL-LEAD,2024.0,5.0,394065.1300
2,3,Direct sales and big merchants,Direct sales,2024.0,5.0,12487591.1600
3,4,Direct Sales - Key clients,DSK,2024.0,5.0,1243260.5700
4,5,MILLENNIUM,MM,2024.0,5.0,4586832.0600
5,6,Cooperative Banks,BANKI,2024.0,5.0,179406.4800
6,7,Sales representatives,SR,2024.0,5.0,2787431.5600
7,8,Regional Sales Managers,RMS,2024.0,5.0,19498765.2000
8,9,DSA,,,,
9,10,Corporate Partners,CP,2024.0,5.0,23754.8800
10,11,GL migration,GL,2024.0,5.0,2969398.7900
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,5.0,172024.9800
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,5.0,29294.7900
13,14,Remote sales other,Remote sales other,2024.0,5.0,1663231.5100
14,15,ICP,ICP,2024.0,5.0,646515.4800
15,16,Multipay,Multipay,2024.0,5.0,884672.8600
16,17,Operations,OP,2024.0,5.0,3223770.6600
17,18,No channel info,No channel info,2024.0,5.0,305587.0800
