,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,154127558.5500
1,2,Dealers sales channel - leads,Dealers sales channel - leads,137691.6200
2,3,Direct sales and big merchants,Direct sales and big merchants,73190760.0100
3,4,Direct Sales - Key clients,Direct Sales - Key clients,10128678.5100
4,5,MILLENNIUM,MILLENNIUM,23229576.6300
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,113117.1200
7,8,Regional Sales Managers,Regional Sales Managers,21127631.0100
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,65558.8000
11,12,Remote sales Millennium,Remote sales Millennium,2433000.1700
12,13,Remote sales NestBank,Remote sales NestBank,923146.4400
13,14,Remote sales other,Remote sales other,13450338.4400
14,15,ICP,ICP,1663861.5400
15,16,Multipay,,0.0000
16,17,Operations,Operations,23075789.8300
17,18,No channel info,,0.0000
