,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,1.0,2024.0,116.5663
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,1.0,2024.0,19.6819
3,4,Direct Sales - Key clients,Direct Sales - Key clients,1.0,2024.0,5080.7894
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,1.0,2024.0,170.0000
7,8,Regional Sales Managers,Regional Sales Managers,1.0,2024.0,85.7671
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,1.0,2024.0,9.3082
10,11,GL migration,GL migration,1.0,2024.0,365.8000
11,12,Remote sales Millennium,Remote sales Millennium,1.0,2024.0,237.3630
12,13,Remote sales NestBank,Remote sales NestBank,1.0,2024.0,188.2296
13,14,Remote sales other,Remote sales other,1.0,2024.0,98.0598
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,1.0,2024.0,104.0134
17,18,No channel info,No channel info,1.0,2024.0,6.2500
