,sort,sc,sales_channel2,rok,week_number,qty
0,1,Dealers sales channel,Dealers sales channel,2023.0,39.0,1282
1,2,Dealers sales channel - leads,,,,0
2,3,Direct sales and big merchants,Direct sales and big merchants,2023.0,39.0,434
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2023.0,39.0,1177
4,5,MILLENNIUM,,,,0
5,6,Cooperative Banks,,,,0
6,7,Sales representatives,Sales representatives,2023.0,39.0,12
7,8,Regional Sales Managers,Regional Sales Managers,2023.0,39.0,418
8,9,DSA,,,,0
9,10,Corporate Partners,Corporate Partners,2023.0,39.0,35
10,11,GL migration,GL migration,2023.0,39.0,10
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,39.0,2374
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,39.0,189
13,14,Remote sales other,Remote sales other,2023.0,39.0,222
14,15,ICP,,,,0
15,16,Multipay,,,,0
16,17,Operations,Operations,2023.0,39.0,297
17,18,No channel info,No channel info,2023.0,39.0,0
