,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,189262567.2800
1,2,Dealers sales channel - leads,Dealers sales channel - leads,181122.6200
2,3,Direct sales and big merchants,Direct sales and big merchants,85694620.4300
3,4,Direct Sales - Key clients,Direct Sales - Key clients,12915612.7200
4,5,MILLENNIUM,MILLENNIUM,29782274.0200
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,133796.1200
7,8,Regional Sales Managers,Regional Sales Managers,25964751.0100
8,9,DSA,,0.0000
9,10,Corporate Partners,Corporate Partners,0.0000
10,11,GL migration,GL migration,93429.6300
11,12,Remote sales Millennium,Remote sales Millennium,2904505.8000
12,13,Remote sales NestBank,Remote sales NestBank,1104238.3500
13,14,Remote sales other,Remote sales other,15997606.1500
14,15,ICP,ICP,1876134.9200
15,16,Multipay,,0.0000
16,17,Operations,Operations,26946964.7800
17,18,No channel info,,0.0000
