,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,180537180.9600
1,2,Dealers sales channel - leads,Dealers sales channel - leads,170141.6200
2,3,Direct sales and big merchants,Direct sales and big merchants,82681301.5000
3,4,Direct Sales - Key clients,Direct Sales - Key clients,12237322.0400
4,5,MILLENNIUM,MILLENNIUM,28404738.1300
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,129097.1200
7,8,Regional Sales Managers,Regional Sales Managers,24643683.1300
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,85925.9000
11,12,Remote sales Millennium,Remote sales Millennium,2773208.8100
12,13,Remote sales NestBank,Remote sales NestBank,1069798.9000
13,14,Remote sales other,Remote sales other,15390255.8600
14,15,ICP,ICP,1827706.8000
15,16,Multipay,,0.0000
16,17,Operations,Operations,26131968.8200
17,18,No channel info,,0.0000
