,sort,sc,sales_channel2,rok,week_number,value
0,1,Dealers sales channel,Dealers sales channel,2024.0,2.0,111438.4000
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,2024.0,2.0,19125.7000
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2024.0,2.0,41363.0000
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,2024.0,2.0,719.0000
7,8,Regional Sales Managers,Regional Sales Managers,2024.0,2.0,11641.4000
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,2024.0,2.0,32492.9400
10,11,GL migration,GL migration,2024.0,2.0,190.2000
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,2.0,147432.8000
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,2.0,38196.5400
13,14,Remote sales other,Remote sales other,2024.0,2.0,22299.2500
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,2024.0,2.0,22750.2100
17,18,No channel info,No channel info,2024.0,2.0,0.0000
