,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,32.0,2023.0,301.2263
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,32.0,2023.0,126.9461
3,4,Direct Sales - Key clients,Direct Sales - Key clients,32.0,2023.0,6597.7777
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,32.0,2023.0,403.0000
7,8,Regional Sales Managers,Regional Sales Managers,32.0,2023.0,192.0639
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,32.0,2023.0,82.6424
10,11,GL migration,,,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,32.0,2023.0,484.5629
12,13,Remote sales NestBank,Remote sales NestBank,32.0,2023.0,377.4748
13,14,Remote sales other,Remote sales other,32.0,2023.0,140.8526
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,32.0,2023.0,159.9876
17,18,No channel info,No channel info,32.0,2023.0,0.0000
