,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,2.0,2024.0,2330.2132
1,2,Dealers sales channel - leads,Dealers sales channel - leads,2.0,2024.0,2692.6114
2,3,Direct sales and big merchants,Direct sales and big merchants,2.0,2024.0,2519.2973
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2.0,2024.0,11672.3898
4,5,MILLENNIUM,MILLENNIUM,2.0,2024.0,1682.8825
5,6,Cooperative Banks,Cooperative Banks,2.0,2024.0,2263.4226
6,7,Sales representatives,Sales representatives,2.0,2024.0,4622.6907
7,8,Regional Sales Managers,Regional Sales Managers,2.0,2024.0,12806.7499
8,9,DSA,,,,
9,10,Corporate Partners,Corporate Partners,2.0,2024.0,21.5021
10,11,GL migration,GL migration,2.0,2024.0,2960.6235
11,12,Remote sales Millennium,Remote sales Millennium,2.0,2024.0,319.8108
12,13,Remote sales NestBank,Remote sales NestBank,2.0,2024.0,249.6505
13,14,Remote sales other,Remote sales other,2.0,2024.0,2029.1345
14,15,ICP,ICP,2.0,2024.0,4685.2108
15,16,Multipay,Multipay,2.0,2024.0,12292.3637
16,17,Operations,Operations,2.0,2024.0,3352.7496
17,18,No channel info,No channel info,2.0,2024.0,96.9690
