,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,2543413.3200
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,817149.2100
3,4,Direct Sales - Key clients,Direct Sales - Key clients,35882.9700
4,5,MILLENNIUM,MILLENNIUM,253266.3100
5,6,Cooperative Banks,Cooperative Banks,7310.0000
6,7,Sales representatives,,0.0000
7,8,Regional Sales Managers,Regional Sales Managers,14705.1900
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,14849.0800
12,13,Remote sales NestBank,Remote sales NestBank,1130.3600
13,14,Remote sales other,Remote sales other,310202.6700
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,225410.0500
17,18,No channel info,,0.0000
