,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,172393308.2500
1,2,Dealers sales channel - leads,Dealers sales channel - leads,162174.6200
2,3,Direct sales and big merchants,Direct sales and big merchants,79682301.2300
3,4,Direct Sales - Key clients,Direct Sales - Key clients,11615915.0100
4,5,MILLENNIUM,MILLENNIUM,26261171.0300
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,124255.1200
7,8,Regional Sales Managers,Regional Sales Managers,23458364.6400
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,79095.5700
11,12,Remote sales Millennium,Remote sales Millennium,2666805.9900
12,13,Remote sales NestBank,Remote sales NestBank,1034610.8200
13,14,Remote sales other,Remote sales other,14812106.5300
14,15,ICP,ICP,1771982.9800
15,16,Multipay,,0.0000
16,17,Operations,Operations,25313665.9800
17,18,No channel info,,0.0000
