,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,33,2023,2937.4479
1,2,Dealers sales channel - leads,Dealers sales channel - leads,33,2023,3445.4224
2,3,Direct sales and big merchants,Direct sales and big merchants,33,2023,4702.3959
3,4,Direct Sales - Key clients,Direct Sales - Key clients,33,2023,15295.0719
4,5,MILLENNIUM,MILLENNIUM,33,2023,2469.2716
5,6,Cooperative Banks,Cooperative Banks,33,2023,3725.2039
6,7,Sales representatives,Sales representatives,33,2023,5016.9791
7,8,Regional Sales Managers,Regional Sales Managers,33,2023,14487.5196
8,9,DSA,DSA,33,2023,5356.5187
9,10,Corporate Partners,Corporate Partners,33,2023,28.5733
10,11,GL migration,GL migration,33,2023,3719.1711
11,12,Remote sales Millennium,Remote sales Millennium,33,2023,550.1979
12,13,Remote sales NestBank,Remote sales NestBank,33,2023,563.6119
13,14,Remote sales other,Remote sales other,33,2023,3181.4524
14,15,ICP,ICP,33,2023,5775.7490
15,16,Multipay,Multipay,33,2023,19020.8301
16,17,Operations,Operations,33,2023,5161.3469
17,18,No channel info,No channel info,33,2023,123.2929
