,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,126798181.7500
1,2,Dealers sales channel - leads,Dealers sales channel - leads,112148.6200
2,3,Direct sales and big merchants,Direct sales and big merchants,62273604.4200
3,4,Direct Sales - Key clients,Direct Sales - Key clients,8343064.8600
4,5,MILLENNIUM,MILLENNIUM,18433855.1200
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,94743.1200
7,8,Regional Sales Managers,Regional Sales Managers,17654082.9700
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,43702.4200
11,12,Remote sales Millennium,Remote sales Millennium,2051787.7600
12,13,Remote sales NestBank,Remote sales NestBank,785448.4700
13,14,Remote sales other,Remote sales other,11224334.6800
14,15,ICP,ICP,1503217.0700
15,16,Multipay,,0.0000
16,17,Operations,Operations,19008822.5700
17,18,No channel info,,0.0000
