,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2023,32,147176983.3700
1,2,Dealers sales channel - leads,DL-LEAD,2023,32,429902.8700
2,3,Direct sales and big merchants,Direct sales,2023,32,15360292.7500
3,4,Direct Sales - Key clients,DSK,2023,32,1939760.7000
4,5,MILLENNIUM,MM,2023,32,5383210.8900
5,6,Cooperative Banks,BANKI,2023,32,271962.8600
6,7,Sales representatives,SR,2023,32,3261148.2700
7,8,Regional Sales Managers,RMS,2023,32,20138819.7400
8,9,DSA,DSA,2023,32,615833.0100
9,10,Corporate Partners,CP,2023,32,65988.5200
10,11,GL migration,GL,2023,32,3976855.5900
11,12,Remote sales Millennium,Remote sales Millennium,2023,32,162813.1500
12,13,Remote sales NestBank,Remote sales NestBank,2023,32,43032.1300
13,14,Remote sales other,Remote sales other,2023,32,1927726.0700
14,15,ICP,ICP,2023,32,810674.1700
15,16,Multipay,Multipay,2023,32,1395922.7400
16,17,Operations,OP,2023,32,4894984.5900
17,18,No channel info,No channel info,2023,32,354398.4600
