,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2023.0,40.0,138265047.1000
1,2,Dealers sales channel - leads,DL-LEAD,2023.0,40.0,472182.3300
2,3,Direct sales and big merchants,Direct sales,2023.0,40.0,13790390.8300
3,4,Direct Sales - Key clients,DSK,2023.0,40.0,1597112.6500
4,5,MILLENNIUM,MM,2023.0,40.0,5207309.1000
5,6,Cooperative Banks,BANKI,2023.0,40.0,268555.3200
6,7,Sales representatives,SR,2023.0,40.0,3474847.9200
7,8,Regional Sales Managers,RMS,2023.0,40.0,20931495.6600
8,9,DSA,,,,
9,10,Corporate Partners,CP,2023.0,40.0,28659.8600
10,11,GL migration,GL,2023.0,40.0,3730158.6300
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,40.0,175928.6400
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,40.0,36074.4500
13,14,Remote sales other,Remote sales other,2023.0,40.0,1789636.3800
14,15,ICP,ICP,2023.0,40.0,721421.7400
15,16,Multipay,Multipay,2023.0,40.0,875230.7000
16,17,Operations,OP,2023.0,40.0,3832373.0200
17,18,No channel info,No channel info,2023.0,40.0,382546.7600
