,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,33.0,2023.0,300.6637
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,33.0,2023.0,52.1811
3,4,Direct Sales - Key clients,Direct Sales - Key clients,33.0,2023.0,3939.0000
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,33.0,2023.0,448.5000
7,8,Regional Sales Managers,Regional Sales Managers,33.0,2023.0,346.8183
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,33.0,2023.0,43.6572
10,11,GL migration,,,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,33.0,2023.0,550.1979
12,13,Remote sales NestBank,Remote sales NestBank,33.0,2023.0,568.4706
13,14,Remote sales other,Remote sales other,33.0,2023.0,137.2396
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,33.0,2023.0,220.4285
17,18,No channel info,No channel info,33.0,2023.0,0.0000
