,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,39.0,2023.0,215.9165
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,39.0,2023.0,149.4174
3,4,Direct Sales - Key clients,Direct Sales - Key clients,39.0,2023.0,4030.8947
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,39.0,2023.0,945.0000
7,8,Regional Sales Managers,Regional Sales Managers,39.0,2023.0,161.5352
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,39.0,2023.0,50.1245
10,11,GL migration,GL migration,39.0,2023.0,278.8500
11,12,Remote sales Millennium,Remote sales Millennium,39.0,2023.0,409.8664
12,13,Remote sales NestBank,Remote sales NestBank,39.0,2023.0,277.0714
13,14,Remote sales other,Remote sales other,39.0,2023.0,137.7311
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,39.0,2023.0,138.4803
17,18,No channel info,No channel info,39.0,2023.0,0.0000
