,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2024.0,2.0,122662427.1300
1,2,Dealers sales channel - leads,DL-LEAD,2024.0,2.0,374272.9900
2,3,Direct sales and big merchants,Direct sales,2024.0,2.0,12873609.4100
3,4,Direct Sales - Key clients,DSK,2024.0,2.0,1482393.5100
4,5,MILLENNIUM,MM,2024.0,2.0,4542100.0600
5,6,Cooperative Banks,BANKI,2024.0,2.0,162966.4300
6,7,Sales representatives,SR,2024.0,2.0,3037107.7900
7,8,Regional Sales Managers,RMS,2024.0,2.0,21886735.6900
8,9,DSA,,,,
9,10,Corporate Partners,CP,2024.0,2.0,34252.9400
10,11,GL migration,GL,2024.0,2.0,3274449.6800
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,2.0,147432.8000
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,2.0,38196.5400
13,14,Remote sales other,Remote sales other,2024.0,2.0,1672006.8300
14,15,ICP,ICP,2024.0,2.0,660614.7300
15,16,Multipay,Multipay,2024.0,2.0,885050.1900
16,17,Operations,OP,2024.0,2.0,3416451.8600
17,18,No channel info,No channel info,2024.0,2.0,305937.3700
