,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,10021941.4500
1,2,Dealers sales channel - leads,Dealers sales channel - leads,9014.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,5455292.3000
3,4,Direct Sales - Key clients,Direct Sales - Key clients,632638.4100
4,5,MILLENNIUM,MILLENNIUM,1557138.6900
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,Sales representatives,6210.0000
7,8,Regional Sales Managers,Regional Sales Managers,1255102.4300
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,GL migration,6644.9900
11,12,Remote sales Millennium,Remote sales Millennium,139827.2900
12,13,Remote sales NestBank,Remote sales NestBank,63030.4000
13,14,Remote sales other,Remote sales other,923567.2900
14,15,ICP,ICP,59809.0100
15,16,Multipay,,0.0000
16,17,Operations,Operations,1635659.7500
17,18,No channel info,,0.0000
