,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,5.0,2024.0,2233.6515
1,2,Dealers sales channel - leads,Dealers sales channel - leads,5.0,2024.0,2835.0009
2,3,Direct sales and big merchants,Direct sales and big merchants,5.0,2024.0,2379.4952
3,4,Direct Sales - Key clients,Direct Sales - Key clients,5.0,2024.0,2904.8144
4,5,MILLENNIUM,MILLENNIUM,5.0,2024.0,1678.9282
5,6,Cooperative Banks,Cooperative Banks,5.0,2024.0,2526.8518
6,7,Sales representatives,Sales representatives,5.0,2024.0,4255.6207
7,8,Regional Sales Managers,Regional Sales Managers,5.0,2024.0,11047.4590
8,9,DSA,,,,
9,10,Corporate Partners,Corporate Partners,5.0,2024.0,14.9120
10,11,GL migration,GL migration,5.0,2024.0,2706.8357
11,12,Remote sales Millennium,Remote sales Millennium,5.0,2024.0,360.6393
12,13,Remote sales NestBank,Remote sales NestBank,5.0,2024.0,187.7871
13,14,Remote sales other,Remote sales other,5.0,2024.0,1980.0375
14,15,ICP,ICP,5.0,2024.0,4585.2161
15,16,Multipay,Multipay,5.0,2024.0,12287.1230
16,17,Operations,Operations,5.0,2024.0,3142.0766
17,18,No channel info,No channel info,5.0,2024.0,95.4661
